变量一,变量二,Spearman相关系数
annual_income,annual_income,1.0
annual_income,daily_commute_km,-2.2117109784887326e-05
annual_income,weekly_travel_distance_km,0.000274636466725639
annual_income,vehicle_age_years,0.0021823798951560785
annual_income,fuel_expense_per_month,-0.0011022648626390363
annual_income,charging_station_accessibility,0.002124806214418942
annual_income,nearest_charging_station_km,-0.0014982223974906955
annual_income,electricity_cost_per_kwh,0.0033844319030140427
annual_income,environmental_awareness_score,0.3620806286007483
annual_income,government_incentive_awareness,8.628631539547453e-05
annual_income,technology_affinity_score,0.49888866233618495
annual_income,range_anxiety_score,-0.42084094866858146
annual_income,battery_replacement_concern,-0.0009283552441569543
annual_income,ev_knowledge_score,0.43762360732936484
daily_commute_km,annual_income,-2.2117109784887326e-05
daily_commute_km,daily_commute_km,1.0
daily_commute_km,weekly_travel_distance_km,0.9470304256838875
daily_commute_km,vehicle_age_years,-0.0058060802326472625
daily_commute_km,fuel_expense_per_month,0.9403652605007693
daily_commute_km,charging_station_accessibility,-0.00449865829773769
daily_commute_km,nearest_charging_station_km,0.0019502930913590278
daily_commute_km,electricity_cost_per_kwh,-0.00039802319626747813
daily_commute_km,environmental_awareness_score,0.004130801804839914
daily_commute_km,government_incentive_awareness,0.0004660608481928894
daily_commute_km,technology_affinity_score,0.003476812232870079
daily_commute_km,range_anxiety_score,0.002245662759412852
daily_commute_km,battery_replacement_concern,-0.0034963019273109614
daily_commute_km,ev_knowledge_score,2.2373441037080403e-05
weekly_travel_distance_km,annual_income,0.000274636466725639
weekly_travel_distance_km,daily_commute_km,0.9470304256838875
weekly_travel_distance_km,weekly_travel_distance_km,1.0
weekly_travel_distance_km,vehicle_age_years,-0.0040252633331118795
weekly_travel_distance_km,fuel_expense_per_month,0.889843532167983
weekly_travel_distance_km,charging_station_accessibility,-0.0023692448571394974
weekly_travel_distance_km,nearest_charging_station_km,0.0015873755955282383
weekly_travel_distance_km,electricity_cost_per_kwh,0.002202214706471465
weekly_travel_distance_km,environmental_awareness_score,0.0055724035876641
weekly_travel_distance_km,government_incentive_awareness,0.0009437818451867175
weekly_travel_distance_km,technology_affinity_score,0.003958895526090412
weekly_travel_distance_km,range_anxiety_score,0.0014483231190369683
weekly_travel_distance_km,battery_replacement_concern,-9.520912098147716e-05
weekly_travel_distance_km,ev_knowledge_score,0.00045064992360036667
vehicle_age_years,annual_income,0.0021823798951560785
vehicle_age_years,daily_commute_km,-0.0058060802326472625
vehicle_age_years,weekly_travel_distance_km,-0.0040252633331118795
vehicle_age_years,vehicle_age_years,1.0
vehicle_age_years,fuel_expense_per_month,-0.007471103041286332
vehicle_age_years,charging_station_accessibility,-0.009975027542460086
vehicle_age_years,nearest_charging_station_km,0.00817202330938085
vehicle_age_years,electricity_cost_per_kwh,0.00663847392019123
vehicle_age_years,environmental_awareness_score,-0.006508729155547616
vehicle_age_years,government_incentive_awareness,-0.0007024794096986591
vehicle_age_years,technology_affinity_score,-0.0017636829599782442
vehicle_age_years,range_anxiety_score,-0.0030707768852864677
vehicle_age_years,battery_replacement_concern,-0.004985398314001286
vehicle_age_years,ev_knowledge_score,-0.003483655297437276
fuel_expense_per_month,annual_income,-0.0011022648626390363
fuel_expense_per_month,daily_commute_km,0.9403652605007693
fuel_expense_per_month,weekly_travel_distance_km,0.889843532167983
fuel_expense_per_month,vehicle_age_years,-0.007471103041286332
fuel_expense_per_month,fuel_expense_per_month,1.0
